prefix,bits,organization,registry
000000,24,XEROX CORPORATION,MA-L
000001,24,XEROX CORPORATION,MA-L
000002,24,XEROX CORPORATION,MA-L
000003,24,XEROX CORPORATION,MA-L
000004,24,XEROX CORPORATION,MA-L
000005,24,XEROX CORPORATION,MA-L
000006,24,XEROX CORPORATION,MA-L
000007,24,XEROX CORPORATION,MA-L
000008,24,XEROX CORPORATION,MA-L
000009,24,XEROX CORPORATION,MA-L
00000A,24,OMRON TATEISI ELECTRONICS CO.,MA-L
00000B,24,MATRIX CORPORATION,MA-L
00000C,24,"Cisco Systems, Inc",MA-L
00000D,24,FIBRONICS LTD.,MA-L
00000E,24,FUJITSU LIMITED,MA-L
00000F,24,"NEXT, INC.",MA-L
000010,24,SYTEK INC.,MA-L
000011,24,NORMEREL SYSTEMES,MA-L
000012,24,INFORMATION TECHNOLOGY LIMITED,MA-L
000013,24,CAMEX,MA-L
000014,24,NETRONIX,MA-L
000015,24,DATAPOINT CORPORATION,MA-L
000016,24,DU PONT PIXEL SYSTEMS     .,MA-L
000017,24,Oracle,MA-L
000018,24,WEBSTER COMPUTER CORPORATION,MA-L
000019,24,APPLIED DYNAMICS INTERNATIONAL,MA-L
00001A,24,ADVANCED MICRO DEVICES,MA-L
00001B,24,"Novell, Inc.",MA-L
00001C,24,BELL TECHNOLOGIES,MA-L
00001D,24,"Cabletron Systems, Inc.",MA-L
00001E,24,TELSIST INDUSTRIA ELECTRONICA,MA-L
00001F,24,"Telco Systems, Inc.",MA-L
000020,24,DATAINDUSTRIER DIAB AB,MA-L
000021,24,SUREMAN COMP. & COMMUN. CORP.,MA-L
000022,24,VISUAL TECHNOLOGY INC.,MA-L
000023,24,ABB INDUSTRIAL SYSTEMS AB,MA-L
000024,24,CONNECT AS,MA-L
000025,24,RAMTEK CORP.,MA-L
000026,24,"SHA-KEN CO., LTD.",MA-L
000027,24,JAPAN RADIO COMPANY,MA-L
000028,24,PRODIGY SYSTEMS CORPORATION,MA-L
000029,24,IMC NETWORKS CORP.,MA-L
00002A,24,TRW - SEDD/INP,MA-L
00002B,24,"CRISP AUTOMATION, INC",MA-L
00002C,24,AUTOTOTE LIMITED,MA-L
00002D,24,CHROMATICS INC,MA-L
00002E,24,SOCIETE EVIRA,MA-L
00002F,24,TIMEPLEX INC.,MA-L
000030,24,VG LABORATORY SYSTEMS LTD,MA-L
